stamp,component_count,main_size,small_component_index,small_component_size,nearest_distance_m,small_x,small_y,small_z,main_x,main_y,main_z,reason
1786670404.5556438,2,30,1,1,0.5228006908846298,0.46128571033477783,0.02590283378958702,-0.021075088530778885,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670404.9589484,2,30,1,1,0.5228006908846298,0.46128571033477783,0.02590283378958702,-0.021075088530778885,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670405.3714955,2,31,1,1,0.5228006908846298,0.46128571033477783,0.02590283378958702,-0.021075088530778885,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670405.7644286,2,34,1,1,1.4392157663804082,1.487779140472412,0.10933798551559448,-0.03312869742512703,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670406.1674724,2,35,1,1,1.4392157663804082,1.487779140472412,0.10933798551559448,-0.03312869742512703,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670406.570474,2,39,1,1,1.4392157663804082,1.487779140472412,0.10933798551559448,-0.03312869742512703,0.13561952114105225,-0.38261184096336365,-0.001636567059904337,not_evaluated_this_snapshot
1786670406.963296,2,41,1,1,2.4045696730532438,2.595677375793457,0.1014149934053421,-0.03536972776055336,4.995677471160889,0.23474833369255066,-0.10000002384185791,not_evaluated_this_snapshot
1786670407.3673625,2,39,1,1,2.4045696730532438,2.595677375793457,0.1014149934053421,-0.03536972776055336,4.995677471160889,0.23474833369255066,-0.10000002384185791,not_evaluated_this_snapshot
1786670408.1725671,2,37,1,1,2.54797654919617,3.7189173698425293,0.042355015873909,-0.042589202523231506,3.4522507190704346,-2.490978240966797,-0.10000002384185791,not_evaluated_this_snapshot
1786670408.5654187,2,26,1,1,2.5765968252847133,3.7189173698425293,0.042355015873909,-0.042589202523231506,3.2522506713867188,-2.490978240966797,-0.10000002384185791,not_evaluated_this_snapshot
1786670408.9784079,2,26,1,1,2.9611833826993714,4.818868637084961,0.040404342114925385,-0.01996961236000061,3.28556752204895,-2.491628408432007,-0.10000002384185791,not_evaluated_this_snapshot
1786670409.3809936,2,38,1,1,1.8519388412507827,5.1546783447265625,0.0012272874591872096,-0.021586555987596512,6.8975677490234375,-0.589569091796875,0.18571427464485168,not_evaluated_this_snapshot
1786670410.177381,2,37,1,1,3.1136153880686135,5.961489200592041,-0.017648188397288322,-0.024426495656371117,3.6948225498199463,-2.1509816646575928,-0.10000002384185791,not_evaluated_this_snapshot
1786670410.5801513,2,41,1,1,3.898751993787393,6.431768894195557,-0.01090158149600029,-0.02583802305161953,3.3157973289489746,-2.353013515472412,-0.10000002384185791,not_evaluated_this_snapshot
1786670412.5953224,2,51,1,1,3.965326186886428,8.47836971282959,0.011786178685724735,-0.03207271173596382,12.033589363098145,-1.7443879842758179,-0.02327975444495678,not_evaluated_this_snapshot
1786670413.4108107,2,51,1,1,3.2653124907648574,9.275609970092773,0.0036997338756918907,-0.03473564237356186,12.033589363098145,-1.7443879842758179,-0.036894287914037704,not_evaluated_this_snapshot
1786670418.649956,2,78,1,1,2.933721831101754,14.489684104919434,-0.056570883840322495,-0.05225442349910736,14.489684104919434,-2.9899041652679443,-0.10000002384185791,not_evaluated_this_snapshot
1786670419.4667916,2,76,1,1,3.012773955298985,15.27314281463623,0.39326345920562744,0.06708235293626785,15.939809799194336,-2.540070056915283,-0.10000002384185791,not_evaluated_this_snapshot
1786670419.8799293,2,75,1,1,3.34825756598102,15.720824241638184,0.40122246742248535,0.06913652271032333,15.9874906539917,-2.9321107864379883,-0.10000002384185791,not_evaluated_this_snapshot
1786670420.293211,2,76,1,1,3.3404030543807437,16.169614791870117,0.42041611671447754,0.07147662341594696,16.03628158569336,-2.912917137145996,-0.10000002384185791,not_evaluated_this_snapshot
1786670420.696914,2,75,1,1,2.9864387111737316,16.51479721069336,0.42363032698631287,0.07299105823040009,15.981463432312012,-2.5097031593322754,-0.10000002384185791,not_evaluated_this_snapshot
