[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_viewpoint_extend] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_multi_layer] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_opencv_visual] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_static_env] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_pub_boundary] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_debug_output] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/is_attempt_autoswitch] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/world_frame] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/semantic_map_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/odom_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/semantic_map_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/odom_connection_update_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/GraphMsger/robot_id] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/floor_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/semantic_local_window_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/terrain_search_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,604: +PARAM [/far_planner/MapHandler/terrain_neighbor_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/local_planner_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/local_planner_resolution] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/local_planner_obstacle_intensity] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/semantic_top1_only] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/semantic_min_probability] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/obstacle_groups] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/terrain_support_groups] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/dynamic_obstacle_groups] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/cell_length] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/map_grid_max_length] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/MapHandler/map_grad_max_height] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/Util/angle_noise] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,605: +PARAM [/far_planner/Util/accept_max_align_angle] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/robot_collision_clearance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +SERVICE [/rosout/get_loggers] /rosout http://yanaibo-ThinkStation-P360-Tower:34999/
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/visibility_edge_projection] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/obs_inflate_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/new_intensity_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/terrain_free_Z] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/dyosb_update_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/new_point_counter] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/dynamic_obs_dacay_time] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Util/new_points_decay_time] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/connect_votes_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/clear_dumper_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/node_finalize_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/filter_pool_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/static_update_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/static_stitch_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/dynamic_position_alpha] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/diagnostic_near_pair_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/static_confirm_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +PARAM [/far_planner/Graph/static_remove_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,606: +SERVICE [/rosout/set_logger_level] /rosout http://yanaibo-ThinkStation-P360-Tower:34999/
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_topology_remove_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_visibility_remove_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_duplicate_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_promotion_requires_finalized] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_promotion_requires_active_edge] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,607: +PARAM [/far_planner/Graph/static_promotion_requires_main_component] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/ContourGraph/projection_min] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/ContourGraph/projection_step] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/ContourGraph/projection_max] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +SUB [/clock] /rosout http://yanaibo-ThinkStation-P360-Tower:34999/
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/ContourGraph/boundary_guard] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/CDetector/resize_ratio] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/CDetector/filter_count_value] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/CDetector/dynamic_simplify_ratio] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PUB [/rosout_agg] /rosout http://yanaibo-ThinkStation-P360-Tower:34999/
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/CDetector/collinear_tolerance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,608: +PARAM [/far_planner/CDetector/collinear_angle_deg] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/CDetector/is_save_img] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/CDetector/img_folder_path] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/GPlanner/converge_distance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/GPlanner/goal_adjust_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/GPlanner/free_counter_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/GPlanner/reach_goal_vote_size] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +SUB [/rosout] /rosout http://yanaibo-ThinkStation-P360-Tower:34999/
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/far_planner/GPlanner/path_momentum_thred] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_goal_adapter/input_goal_topic] by /roslaunch
