

0.000000000  Node Startup
1786670431.532879780 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=19284, output=19284, high-cost remapped=403, invalid xyz skipped=0
1786670433.559511457 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=18127, output=18127, high-cost remapped=419, invalid xyz skipped=0
1786670435.567681291 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=17539, output=17539, high-cost remapped=546, invalid xyz skipped=0
1786670437.585308469 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=17382, output=17382, high-cost remapped=468, invalid xyz skipped=0
1786670439.591599552 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=17992, output=17992, high-cost remapped=302, invalid xyz skipped=0
1786670441.608807928 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=18897, output=18897, high-cost remapped=297, invalid xyz skipped=0
1786670443.716102882 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20240, output=20240, high-cost remapped=399, invalid xyz skipped=0
1786670445.741618641 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20726, output=20726, high-cost remapped=563, invalid xyz skipped=0
1786670447.765323759 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21156, output=21156, high-cost remapped=853, invalid xyz skipped=0
1786670449.778938452 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=20910, output=20910, high-cost remapped=850, invalid xyz skipped=0
1786670451.794273793 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21494, output=21494, high-cost remapped=817, invalid xyz skipped=0
1786670453.827889566 INFO /grid_semantic_adapter [/home/yanaibo/mapless_navigation/SSMI-example/ssmi_ws/src/SSMI/SSMI-Mapping/src/grid_semantic_adapter_node.cpp:232(cloudCallback)] [topics: /rosout, /semantic_pcl/semantic_pcl] grid adapter input=21643, output=21643, high-cost remapped=766, invalid xyz skipped=0
